frequency,mag,phase
1,-0.0336237815,-0.000129117609
1.12201845,-0.0336237815,-0.00014487234
1.25892541,-0.0336237815,-0.000162549439
1.41253754,-0.0336237815,-0.000182383471
1.58489319,-0.0336237816,-0.00020463762
1.77827941,-0.0336237816,-0.000229607186
1.99526231,-0.0336237816,-0.0002576235
2.23872114,-0.0336237816,-0.000289058321
2.51188643,-0.0336237816,-0.000324328771
2.81838293,-0.0336237817,-0.000363902866
3.16227766,-0.0336237817,-0.000408305731
3.54813389,-0.0336237818,-0.000458126565
3.98107171,-0.0336237818,-0.000514026461
4.46683592,-0.0336237819,-0.000576747175
5.01187234,-0.033623782,-0.000647120974
5.62341325,-0.0336237822,-0.000726081675
6.30957344,-0.0336237824,-0.000814677038
7.07945784,-0.0336237826,-0.000914082671
7.94328235,-0.0336237829,-0.00102561763
8.91250938,-0.0336237832,-0.0011507619
10,-0.0336237836,-0.00129117609
11.2201845,-0.0336237842,-0.0014487234
12.5892541,-0.0336237849,-0.00162549439
14.1253754,-0.0336237858,-0.00182383471
15.8489319,-0.0336237869,-0.0020463762
17.7827941,-0.0336237883,-0.00229607186
19.9526231,-0.03362379,-0.002576235
22.3872114,-0.0336237923,-0.00289058321
25.1188643,-0.033623795,-0.0032432877
28.1838293,-0.0336237985,-0.00363902865
31.6227766,-0.033623803,-0.0040830573
35.4813389,-0.0336238085,-0.00458126564
39.8107171,-0.0336238155,-0.00514026459
44.6683592,-0.0336238243,-0.00576747173
50.1187234,-0.0336238354,-0.00647120971
56.2341325,-0.0336238493,-0.00726081671
63.0957344,-0.0336238669,-0.00814677033
70.7945784,-0.033623889,-0.00914082664
79.4328235,-0.0336239169,-0.0102561762
89.1250938,-0.0336239519,-0.0115076189
100,-0.0336239961,-0.0129117607
112.201845,-0.0336240516,-0.0144872337
125.892541,-0.0336241216,-0.0162549435
141.253754,-0.0336242096,-0.0182383465
158.489319,-0.0336243204,-0.0204637612
177.827941,-0.03362446,-0.0229607174
199.526231,-0.0336246357,-0.0257623483
223.872114,-0.0336248568,-0.0289058298
251.188643,-0.0336251353,-0.0324328737
281.838293,-0.0336254858,-0.0363902819
316.227766,-0.0336259271,-0.0408305665
354.813389,-0.0336264826,-0.0458126472
398.107171,-0.033627182,-0.0514026328
446.683592,-0.0336280625,-0.0576746988
501.187234,-0.033629171,-0.064712071
562.341325,-0.0336305664,-0.0726081302
630.957344,-0.0336323229,-0.0814676512
707.945784,-0.0336345346,-0.0914081927
794.328235,-0.0336373189,-0.102561658
891.250938,-0.0336408242,-0.115076042
1000,-0.033645237,-0.1291174
1122.01845,-0.0336507924,-0.144872044
1258.92541,-0.0336577863,-0.162549021
1412.53754,-0.0336665911,-0.18238288
1584.89319,-0.0336776755,-0.204636785
1778.27941,-0.03369163,-0.229606007
1995.26231,-0.0337091971,-0.257621834
2238.72114,-0.033731313,-0.289055968
2511.88643,-0.0337591549,-0.324325447
2818.38293,-0.0337942063,-0.363898172
3162.27766,-0.0338383327,-0.4082991
3548.13389,-0.0338938825,-0.458117199
3981.07171,-0.0339638159,-0.514013231
4466.83592,-0.034051856,-0.576728487
5011.87234,-0.0341626889,-0.647094577
5623.41325,-0.0343022135,-0.726044389
6309.57344,-0.0344778617,-0.814624372
7079.45784,-0.0346989759,-0.914008281
7943.28235,-0.0349773277,-1.02551255
8912.50938,-0.0353277301,-1.15061349
10000,-0.0357688163,-1.29096646
11220.1845,-0.0363240464,-1.44842731
12589.2541,-0.0370229388,-1.6250762
14125.3754,-0.0379026325,-1.82324406
15848.9319,-0.0390098552,-2.04554202
17782.7941,-0.0404033563,-2.29489377
19952.6231,-0.0421570355,-2.57457131
22387.2114,-0.0443637854,-2.88823391
25118.8643,-0.0471403194,-3.2399705
28183.8293,-0.0506332501,-3.63434525
31622.7766,-0.0550265942,-4.07644584
35481.3389,-0.0605511778,-4.57193383
39810.7171,-0.067496247,-5.12709571
44668.3592,-0.0762238071,-5.74889264
50118.7234,-0.0871862728,-6.44500584
56234.1325,-0.100947989,-7.22387322
63095.7344,-0.118211178,-8.09471094
70794.5784,-0.139847159,-9.06751108
79432.8235,-0.166932891,-10.1530038
89125.0938,-0.200793392,-11.3625681
100000,-0.243049322,-12.7080724
112201.845,-0.295668467,-14.2016195
125892.541,-0.361018368,-15.8551704
141253.754,-0.441915244,-17.6800179
158489.319,-0.541661823,-19.6860872
177827.941,-0.664063642,-21.8810512
199526.231,-0.813410494,-24.2692761
223872.114,-0.994407836,-26.8506479
251188.643,-1.21204383,-29.6193895
281838.293,-1.47138304,-32.5630324
316227.766,-1.77728861,-35.6617612
354813.389,-2.13409122,-38.8883591
398107.171,-2.54524178,-42.2089384
446683.592,-3.01299959,-45.5845162
501187.234,-3.53821148,-48.9733229
562341.325,-4.12022613,-52.3335505
630957.344,-4.75696136,-55.6261297
707945.784,-5.44511037,-58.817118
794328.235,-6.18044578,-61.8793868
891250.938,-6.95816604,-64.7934697
1000000,-7.77323151,-67.5476152
1122018.45,-8.62065116,-70.1372142
1258925.41,-9.49569908,-72.5638304
1412537.54,-10.3940573,-74.834055
1584893.19,-11.3118926,-76.958359
1778279.41,-12.2458824,-78.9500587
1995262.31,-13.1932023,-80.8244531
2238721.14,-14.1514925,-82.5981541
2511886.43,-15.1188107,-84.2886011
2818382.93,-16.093581,-85.9137409
3162277.66,-17.0745433,-87.4918497
3548133.89,-18.0607063,-89.0414762
3981071.71,-19.0513068,-90.5814892
4466835.92,-20.0457755,-92.1312213
5011872.34,-21.0437136,-93.7107042
5623413.25,-22.0448793,-95.3409955
6309573.44,-23.0491923,-97.044598
7079457.84,-24.0567576,-98.8459651
7943282.35,-25.0679199,-100.772079
8912509.38,-26.0833557,-102.853051
10000000,-27.1042125,-105.122643
11220184.5,-28.1322923,-107.61849
12589254.1,-29.1702328,-110.381782
14125375.4,-30.2215787,-113.456495
15848931.9,-31.2906386,-116.889246
17782794.1,-32.3822407,-120.731603
19952623.1,-33.5017593,-125.045201
22387211.4,-34.6555951,-129.907555
25118864.3,-35.8518714,-135.417336
28183829.3,-37.10113,-141.700191
31622776.6,-38.416931,-148.916359
