v-sweep,i(vmeas)
0,-0.000000949906635
0.001,-0.000000949906731
0.002,-0.000000949906719
0.003,-0.000000949906674
0.004,-0.000000949906719
0.005,-0.000000949906697
0.006,-0.00000094990672
0.007,-0.000000949906694
0.008,-0.000000949906694
0.009,-0.000000949906745
0.01,-0.000000949906699
0.011,-0.000000949906688
0.012,-0.000000949906704
0.013,-0.000000949906708
0.014,-0.000000949906713
0.015,-0.000000949906694
0.016,-0.000000949906706
0.017,-0.000000949906724
0.018,-0.000000949906694
0.019,-0.000000949906717
0.02,-0.00000094990672
0.021,-0.000000949906719
0.022,-0.00000094990677
0.023,-0.00000094990671
0.024,-0.00000094990666
0.025,-0.000000949906694
0.026,-0.000000949906724
0.027,-0.00000094990661
0.028,-0.000000949906726
0.029,-0.000000949906703
0.03,-0.000000949906671
0.031,-0.000000949906694
0.032,-0.000000949906756
0.033,-0.000000949906664
0.034,-0.000000949906731
0.035,-0.000000949906743
0.036,-0.000000949906688
0.037,-0.000000949906704
0.038,-0.000000949906719
0.039,-0.000000949906694
0.04,-0.000000949906688
0.041,-0.000000949906704
0.042,-0.00000094990668
0.043,-0.000000949906688
0.044,-0.000000949906715
0.045,-0.000000949906694
0.046,-0.000000949906735
0.047,-0.000000949906687
0.048,-0.000000949906706
0.049,-0.00000094990671
0.05,-0.000000949906692
0.051,-0.000000949906696
0.052,-0.000000949906681
0.053,-0.000000949906756
0.054,-0.000000949906703
0.055,-0.00000094990671
0.056,-0.00000094990668
0.057,-0.000000949906688
0.058,-0.00000094990671
0.059,-0.000000949906697
0.06,-0.000000949906752
0.061,-0.000000949906722
0.062,-0.000000949906738
0.063,-0.000000949906704
0.064,-0.00000094990669
0.065,-0.00000094990672
0.066,-0.000000949906701
0.067,-0.000000949906726
0.068,-0.000000949906681
0.069,-0.00000094990672
0.07,-0.000000949906724
0.071,-0.000000949906694
0.072,-0.000000949906701
0.073,-0.000000949906726
0.074,-0.000000949906692
0.075,-0.000000949906669
0.076,-0.000000949906724
0.077,-0.00000094990664
0.078,-0.000000949906724
0.079,-0.000000949906722
0.08,-0.000000949906681
0.081,-0.000000949906696
0.082,-0.000000949906775
0.083,-0.00000094990672
0.084,-0.000000949906717
0.085,-0.000000949906752
0.086,-0.000000949906655
0.087,-0.000000949906756
0.088,-0.000000949906712
0.089,-0.000000949906717
0.09,-0.000000949906665
0.091,-0.000000949906717
0.092,-0.000000949906681
0.093,-0.000000949906671
0.094,-0.000000949906699
0.095,-0.000000949906694
0.096,-0.000000949906706
0.097,-0.000000949906696
0.098,-0.000000949906696
0.099,-0.000000949906696
0.1,-0.000000949906706
0.101,-0.000000949906735
0.102,-0.000000949906697
0.103,-0.000000949906726
0.104,-0.000000949906676
0.105,-0.000000949906731
0.106,-0.00000094990671
0.107,-0.000000949906717
0.108,-0.000000949906706
0.109,-0.000000949906715
0.11,-0.000000949906717
0.111,-0.000000949906735
0.112,-0.00000094990671
0.113,-0.000000949906726
0.114,-0.000000949906724
0.115,-0.00000094990671
0.116,-0.00000094990672
0.117,-0.000000949906696
0.118,-0.000000949906704
0.119,-0.000000949906738
0.12,-0.00000094990669
0.121,-0.000000949906694
0.122,-0.000000949906665
0.123,-0.000000949906715
0.124,-0.000000949906701
0.125,-0.000000949906688
0.126,-0.000000949906731
0.127,-0.000000949906662
0.128,-0.00000094990671
0.129,-0.000000949906694
0.13,-0.000000949906662
0.131,-0.000000949906696
0.132,-0.000000949906736
0.133,-0.000000949906696
0.134,-0.000000949906688
0.135,-0.000000949906692
0.136,-0.000000949906694
0.137,-0.00000094990671
0.138,-0.00000094990672
0.139,-0.000000949906717
0.14,-0.000000949906685
0.141,-0.000000949906717
0.142,-0.000000949906726
0.143,-0.00000094990669
0.144,-0.000000949906688
0.145,-0.00000094990671
0.146,-0.000000949906685
0.147,-0.000000949906758
0.148,-0.000000949906685
0.149,-0.000000949906733
0.15,-0.000000949906681
0.151,-0.000000949906704
0.152,-0.000000949906715
0.153,-0.00000094990672
0.154,-0.000000949906678
0.155,-0.000000949906726
0.156,-0.000000949906688
0.157,-0.000000949906761
0.158,-0.000000949906736
0.159,-0.000000949906649
0.16,-0.000000949906767
0.161,-0.000000949906678
0.162,-0.000000949906681
0.163,-0.000000949906681
0.164,-0.000000949906678
0.165,-0.000000949906688
0.166,-0.000000949906722
0.167,-0.000000949906715
0.168,-0.000000949906708
0.169,-0.000000949906719
0.17,-0.000000949906688
0.171,-0.000000949906667
0.172,-0.000000949906712
0.173,-0.000000949906692
0.174,-0.000000949906678
0.175,-0.000000949906735
0.176,-0.000000949906692
0.177,-0.00000094990672
0.178,-0.000000949906696
0.179,-0.000000949906722
0.18,-0.00000094990669
0.181,-0.00000094990671
0.182,-0.00000094990672
0.183,-0.000000949906696
0.184,-0.000000949906688
0.185,-0.000000949906692
0.186,-0.000000949906717
0.187,-0.00000094990666
0.188,-0.000000949906735
0.189,-0.000000949906694
0.19,-0.000000949906688
0.191,-0.000000949906688
0.192,-0.000000949906664
0.193,-0.000000949906703
0.194,-0.000000949906754
0.195,-0.000000949906681
0.196,-0.000000949906747
0.197,-0.000000949906696
0.198,-0.000000949906719
0.199,-0.000000949906742
0.2,-0.00000094990672
0.201,-0.000000949906685
0.202,-0.000000949906726
0.203,-0.000000949906727
0.204,-0.000000949906667
0.205,-0.000000949906685
0.206,-0.000000949906694
0.207,-0.000000949906696
0.208,-0.000000949906717
0.209,-0.00000094990669
0.21,-0.000000949906708
0.211,-0.000000949906756
0.212,-0.000000949906667
0.213,-0.00000094990669
0.214,-0.000000949906672
0.215,-0.000000949906754
0.216,-0.000000949906724
0.217,-0.000000949906696
0.218,-0.000000949906669
0.219,-0.000000949906774
0.22,-0.000000949906678
0.221,-0.000000949906717
0.222,-0.000000949906731
0.223,-0.00000094990669
0.224,-0.000000949906727
0.225,-0.000000949906694
0.226,-0.000000949906736
0.227,-0.00000094990668
0.228,-0.000000949906717
0.229,-0.000000949906692
0.23,-0.00000094990672
0.231,-0.000000949906669
0.232,-0.000000949906669
0.233,-0.000000949906658
0.234,-0.000000949906706
0.235,-0.000000949906717
0.236,-0.000000949906681
0.237,-0.000000949906701
0.238,-0.000000949906671
0.239,-0.000000949906667
0.24,-0.00000094990671
0.241,-0.000000949906662
0.242,-0.000000949906715
0.243,-0.000000949906696
0.244,-0.00000094990669
0.245,-0.000000949906696
0.246,-0.000000949906697
0.247,-0.000000949906697
0.248,-0.000000949906633
0.249,-0.000000949906724
0.25,-0.000000949906688
0.251,-0.000000949906708
0.252,-0.000000949906742
0.253,-0.000000949906653
0.254,-0.000000949906656
0.255,-0.000000949906683
0.256,-0.000000949906745
0.257,-0.000000949906726
0.258,-0.000000949906688
0.259,-0.000000949906726
0.26,-0.000000949906672
0.261,-0.000000949906717
0.262,-0.000000949906696
0.263,-0.000000949906722
0.264,-0.000000949906724
0.265,-0.000000949906727
0.266,-0.000000949906727
0.267,-0.00000094990671
0.268,-0.000000949906752
0.269,-0.000000949906688
0.27,-0.00000094990672
0.271,-0.000000949906688
0.272,-0.000000949906767
0.273,-0.000000949906678
0.274,-0.000000949906799
0.275,-0.000000949906696
0.276,-0.000000949906751
0.277,-0.000000949906724
0.278,-0.000000949906752
0.279,-0.000000949906667
0.28,-0.000000949906685
0.281,-0.000000949906712
0.282,-0.000000949906703
0.283,-0.000000949906717
0.284,-0.000000949906713
0.285,-0.000000949906688
0.286,-0.000000949906688
0.287,-0.000000949906699
0.288,-0.000000949906717
0.289,-0.000000949906667
0.29,-0.000000949906717
0.291,-0.000000949906687
0.292,-0.000000949906717
0.293,-0.00000094990661
0.294,-0.000000949906735
0.295,-0.000000949906672
0.296,-0.000000949906676
0.297,-0.000000949906681
0.298,-0.00000094990661
0.299,-0.00000094990669
0.3,-0.000000949906681
0.301,-0.000000949906715
0.302,-0.000000949906712
0.303,-0.000000949906727
0.304,-0.000000949906717
0.305,-0.000000949906708
0.306,-0.00000094990668
0.307,-0.000000949906696
0.308,-0.000000949906632
0.309,-0.000000949906752
0.31,-0.000000949906681
0.311,-0.00000094990664
0.312,-0.000000949906712
0.313,-0.000000949906665
0.314,-0.000000949906731
0.315,-0.00000094990671
0.316,-0.000000949906665
0.317,-0.000000949906724
0.318,-0.000000949906662
0.319,-0.000000949906759
0.32,-0.000000949906696
0.321,-0.000000949906678
0.322,-0.00000094990671
0.323,-0.000000949906688
0.324,-0.00000094990672
0.325,-0.000000949906669
0.326,-0.000000949906696
0.327,-0.000000949906694
0.328,-0.000000949906696
0.329,-0.000000949906653
0.33,-0.000000949906658
0.331,-0.000000949906681
0.332,-0.000000949906726
0.333,-0.00000094990669
0.334,-0.000000949906688
0.335,-0.000000949906696
0.336,-0.000000949906653
0.337,-0.000000949906727
0.338,-0.000000949906706
0.339,-0.000000949906635
0.34,-0.000000949906704
0.341,-0.000000949906674
0.342,-0.000000949906713
0.343,-0.000000949906664
0.344,-0.000000949906667
0.345,-0.000000949906696
0.346,-0.000000949906642
0.347,-0.000000949906703
0.348,-0.000000949906639
0.349,-0.00000094990668
0.35,-0.000000949906678
0.351,-0.000000949906696
0.352,-0.000000949906696
0.353,-0.00000094990664
0.354,-0.000000949906669
0.355,-0.000000949906706
0.356,-0.000000949906671
0.357,-0.000000949906697
0.358,-0.00000094990666
0.359,-0.000000949906639
0.36,-0.000000949906712
0.361,-0.000000949906644
0.362,-0.00000094990669
0.363,-0.000000949906692
0.364,-0.000000949906674
0.365,-0.000000949906656
0.366,-0.000000949906692
0.367,-0.000000949906745
0.368,-0.000000949906678
0.369,-0.00000094990671
0.37,-0.000000949906694
0.371,-0.000000949906662
0.372,-0.000000949906692
0.373,-0.000000949906632
0.374,-0.000000949906662
0.375,-0.00000094990664
0.376,-0.000000949906646
0.377,-0.000000949906667
0.378,-0.000000949906658
0.379,-0.000000949906617
0.38,-0.000000949906688
0.381,-0.000000949906619
0.382,-0.000000949906607
0.383,-0.000000949906655
0.384,-0.000000949906662
0.385,-0.000000949906701
0.386,-0.000000949906632
0.387,-0.000000949906635
0.388,-0.000000949906608
0.389,-0.000000949906632
0.39,-0.000000949906605
0.391,-0.000000949906632
0.392,-0.00000094990666
0.393,-0.00000094990666
0.394,-0.000000949906582
0.395,-0.000000949906655
