V1,V2,Vout
0,0.75,0.0171719663
0.001,0.75,0.0171719665
0.002,0.75,0.0171719667
0.003,0.75,0.017171966
0.004,0.75,0.0171719658
0.005,0.75,0.0171719659
0.006,0.75,0.0171719663
0.007,0.75,0.0171719657
0.008,0.75,0.0171719664
0.009,0.75,0.0171719658
0.01,0.75,0.0171719666
0.011,0.75,0.0171719654
0.012,0.75,0.0171719665
0.013,0.75,0.0171719662
0.014,0.75,0.017171967
0.015,0.75,0.0171719656
0.016,0.75,0.0171719668
0.017,0.75,0.0171719658
0.018,0.75,0.0171719656
0.019,0.75,0.0171719663
0.02,0.75,0.0171719665
0.021,0.75,0.0171719661
0.022,0.75,0.0171719664
0.023,0.75,0.0171719665
0.024,0.75,0.0171719656
0.025,0.75,0.0171719672
0.026,0.75,0.0171719667
0.027,0.75,0.0171719668
0.028,0.75,0.017171966
0.029,0.75,0.0171719667
0.03,0.75,0.0171719661
0.031,0.75,0.0171719669
0.032,0.75,0.0171719666
0.033,0.75,0.0171719656
0.034,0.75,0.0171719669
0.035,0.75,0.0171719664
0.036,0.75,0.0171719657
0.037,0.75,0.0171719669
0.038,0.75,0.0171719668
0.039,0.75,0.0171719668
0.04,0.75,0.0171719664
0.041,0.75,0.017171966
0.042,0.75,0.0171719663
0.043,0.75,0.0171719664
0.044,0.75,0.0171719663
0.045,0.75,0.0171719666
0.046,0.75,0.0171719665
0.047,0.75,0.0171719665
0.048,0.75,0.0171719662
0.049,0.75,0.0171719668
0.05,0.75,0.0171719666
0.051,0.75,0.0171719663
0.052,0.75,0.0171719665
0.053,0.75,0.0171719663
0.054,0.75,0.0171719659
0.055,0.75,0.017171966
0.056,0.75,0.017171966
0.057,0.75,0.0171719661
0.058,0.75,0.017171966
0.059,0.75,0.0171719665
0.06,0.75,0.0171719659
0.061,0.75,0.0171719666
0.062,0.75,0.0171719663
0.063,0.75,0.0171719669
0.064,0.75,0.017171966
0.065,0.75,0.0171719672
0.066,0.75,0.017171966
0.067,0.75,0.0171719651
0.068,0.75,0.0171719665
0.069,0.75,0.0171719666
0.07,0.75,0.0171719658
0.071,0.75,0.0171719659
0.072,0.75,0.0171719674
0.073,0.75,0.0171719659
0.074,0.75,0.0171719664
0.075,0.75,0.0171719656
0.076,0.75,0.0171719663
0.077,0.75,0.0171719667
0.078,0.75,0.0171719665
0.079,0.75,0.0171719668
0.08,0.75,0.0171719669
0.081,0.75,0.0171719666
0.082,0.75,0.0171719679
0.083,0.75,0.0171719661
0.084,0.75,0.0171719673
0.085,0.75,0.0171719657
0.086,0.75,0.0171719671
0.087,0.75,0.0171719672
0.088,0.75,0.0171719663
